n_HD	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst	Simbad
 	179933	BD+65  1326 	26449	7290	 94140	19 09 45.80	+65 58 42.4	 6.26	 55	     	Dra	Simbad
 	179950	CD-25 13866 	26516	7292	 94643	19 15 32.40	-25 15 23.8	 4.86	 42	psi  	Sgr	Simbad
 	180006	BD+56  2209 	26475	7295	 94302	19 11 40.52	+56 51 32.7	 5.13	 53	     	Dra	Simbad
 	180093	CD-33 14076 	26544	7296	 94730	19 16 32.76	-33 31 20.3	 6.58	   	RY   	Sgr	Simbad
M	180163	BD+38  3490 	26507	7298	 94481	19 13 45.49	+39 08 45.5	 4.43	 20	eta  	Lyr	Simbad
 	180317	BD+20  4088 	26542	7301	 94620	19 15 17.34	+21 13 55.6	 5.65	  1	     	Sge	Simbad
 	180482	BD+04  4045 	26567	7303	 94727	19 16 31.02	+04 50 05.4	 5.59	 22	     	Aql	Simbad
 	180540	BD-19  5379 	26589	7304	 94820	19 17 38.09	-18 57 10.4	 4.88	 43	d    	Sgr	Simbad
 	180554	BD+21  3713 	26569	7306	 94703	19 16 13.04	+21 23 25.6	 4.76	  1	     	Vul	Simbad
 	180610	BD+57  1968 	26537	7309	 94490	19 13 55.16	+57 42 18.9	 5.00	 54	     	Dra	Simbad
M	180711	BD+67  1129 	26520	7310	 94376	19 12 33.15	+67 39 40.7	 3.07	 57	del  	Dra	Simbad
 	180777	BD+76   717 	26484	7312	 94083	19 09 09.75	+76 33 38.9	 5.11	 59	     	Dra	Simbad
 	180809	BD+37  3398 	26585	7314	 94713	19 16 22.10	+38 08 01.4	 4.35	 21	the  	Lyr	Simbad
X	180868	BD+11  3790 	26609	7315	 94834	19 17 49.00	+11 35 43.4	 5.28	 25	ome01	Aql	Simbad
X	180868	BD+11  3790 	26609	7315	 94834	19 17 49.00	+11 35 43.4	 5.28	 25	ome  	Aql	Simbad
X	180968	BD+22  3648 	26613	7318	 94827	19 17 43.64	+23 01 32.0	 5.46	  2	     	Vul	Simbad
X	180968	BD+22  3648 	26613	7318	 94827	19 17 43.64	+23 01 32.0	 5.46	  2	ES   	Vul	Simbad
 	180972	BD+00  4168 	26623	7319	 94885	19 18 32.49	+01 05 06.3	 5.10	 23	     	Aql	Simbad
 	181053	BD+00  4170 	26629	7321	 94913	19 18 50.93	+00 20 20.4	 6.40	 24	     	Aql	Simbad
 	181182	BD+19  3975 	26639	7326	 94910	19 18 48.41	+19 36 37.7	 6.50	   	U    	Sge	Simbad
X	181276	BD+53  2216 	26621	7328	 94779	19 17 06.11	+53 22 05.4	 3.80	  1	kap  	Cyg	Simbad
X	181276	BD+53  2216 	26621	7328	 94779	19 17 06.11	+53 22 05.4	 3.80	   	chi  	Cyg	Simbad
 	181296	CP-54  9339 	26696	7329	 95261	19 22 51.18	-54 25 25.4	 5.03	   	eta  	Tel	Simbad
M	181333	BD+12  3879 	26654	7331	 94982	19 19 39.35	+12 22 28.7	 5.53	 28	A    	Aql	Simbad
 	181383	BD+11  3802 	26660	7332	 95002	19 19 53.04	+11 32 05.7	 6.03	 29	ome02	Aql	Simbad
 	181391	BD-05  4936 	26669	7333	 95066	19 20 32.84	-05 24 57.1	 4.98	 26	f    	Aql	Simbad
 	181440	BD-01  3716 	26673	7336	 95073	19 20 35.68	-00 53 31.8	 5.46	 27	d    	Aql	Simbad
M	181454	CD-44 13277 	26703	7337	 95241	19 22 38.29	-44 27 32.1	 3.96	   	bet01	Sgr	Simbad
 	181577	BD-18  5322 	26694	7340	 95168	19 21 40.38	-17 50 50.1	 3.92	 44	rho01	Sgr	Simbad
X	181615	BD-16  5283A	26697	7342	 95176	19 21 43.62	-15 57 18.0	 4.52	 46	ups  	Sgr	Simbad
X	181615	BD-16  5283A	26697	7342	 95176	19 21 43.62	-15 57 18.0	 4.52	   	nu.  	Sgr	Simbad
M	181623	CD-45 13171 	26718	7343	 95294	19 23 13.06	-44 47 58.7	 4.27	   	bet02	Sgr	Simbad
 	181645	BD-18  5325 	26700	7344	 95188	19 21 50.83	-18 18 29.4	 5.84	 45	rho02	Sgr	Simbad
M	181869	CD-40 13245 	26737	7348	 95347	19 23 53.15	-40 36 56.3	 3.96	   	alf  	Sgr	Simbad
X	181984	BD+73   857 	26638	7352	 94648	19 15 33.29	+73 21 18.8	 4.45	 60	tau  	Dra	Simbad
X	181984	BD+73   857 	26638	7352	 94648	19 15 33.29	+73 21 18.8	 4.45	 60	tau02	Dra	Simbad
 	182255	BD+25  3811 	26748	7358	 95260	19 22 50.88	+26 15 44.7	 5.22	  3	     	Vul	Simbad
 	182369	CD-24 15303 	26789	7362	 95477	19 25 16.45	-24 30 30.4	 5.02	 47	chi01	Sgr	Simbad
 	182391	CD-24 15306 	26793	    	 95486	19 25 22.28	-24 24 43.6	 7.26	 48	chi02	Sgr	Simbad
X	182416	CD-24 15307 	26801	7363	 95503	19 25 29.67	-23 57 44.7	 5.45	 49	chi03	Sgr	Simbad
X	182416	CD-24 15307 	26801	7363	 95503	19 25 29.67	-23 57 44.7	 5.45	 49	chi02	Sgr	Simbad
 	182490	BD+16  3839 	26784	7369	 95398	19 24 22.08	+16 56 15.9	 6.27	  2	     	Sge	Simbad
 	182564	BD+65  1345 	26735	7371	 95081	19 20 40.07	+65 42 51.9	 4.60	 58	pi.  	Dra	Simbad
 	182568	BD+29  3584 	26785	7372	 95372	19 24 07.57	+29 37 16.7	 4.99	  2	     	Cyg	Simbad
 	182571	BD+16  3842 	26802	    	 95435	19 24 45.39	+16 57 25.4	 6.84	  3	     	Sge	Simbad
 	182572	BD+11  3833 	26809	7373	 95447	19 24 57.77	+11 56 34.3	 5.17	 31	b    	Aql	Simbad
 	182629	BD-22  5105 	26823	7375	 95564	19 26 19.13	-21 46 36.1	 5.57	 50	     	Sgr	Simbad
M	182640	BD+02  3879 	26816	7377	 95501	19 25 29.75	+03 06 52.5	 3.36	 30	del  	Aql	Simbad
 	182762	BD+19  4010 	26821	7385	 95498	19 25 28.54	+19 47 54.7	 5.14	  4	     	Vul	Simbad
 	182835	BD+00  4206 	26838	7387	 95585	19 26 31.09	+00 20 18.9	 4.64	 32	nu.  	Aql	Simbad
 	182919	BD+19  4015 	26839	7390	 95560	19 26 13.24	+20 05 52.2	 5.60	  5	     	Vul	Simbad
 	183028	CP-55  9100 	26902	7393	 95932	19 30 34.57	-55 06 36.1	 6.29	   	mu.  	Tel	Simbad
 	183030	BD+88   112 	25111	7394	 84535	17 16 57.26	+89 02 15.8	 6.31	   	lam  	UMi	Simbad
 	183056	BD+36  3557 	26846	7395	 95556	19 26 09.12	+36 19 04.3	 5.17	  4	     	Cyg	Simbad
 	183324	BD+01  4010 	26900	7400	 95793	19 29 00.99	+01 57 01.9	 5.79	 35	c    	Aql	Simbad
 	183344	BD-07  4968 	26905	7402	 95820	19 29 21.36	-07 02 38.6	 6.37	   	U    	Aql	Simbad
M	183439	BD+24  3759 	26904	7405	 95771	19 28 42.41	+24 39 54.6	 4.44	  6	alf  	Vul	Simbad
 	183491	BD+24  3761 	26914	7406	 95785	19 28 57.08	+24 46 07.3	 5.82	  8	     	Vul	Simbad
X	183534	BD+52  2434 	26893	7408	 95656	19 27 25.97	+52 19 13.8	 5.73	  7	     	Cyg	Simbad
X	183534	BD+52  2434 	26893	7408	 95656	19 27 25.97	+52 19 13.8	 5.73	  7	iot01	Cyg	Simbad
 	183537	BD+19  4039 	26921	7409	 95818	19 29 20.90	+20 16 47.2	 6.34	  7	     	Vul	Simbad
 	183556	BD+76   734 	26826	    	 95154	19 21 35.53	+76 33 34.6	 6.22	   	UX   	Dra	Simbad
 	183630	BD-03  4612 	26936	7414	 95937	19 30 39.82	-02 47 19.9	 5.03	 36	e    	Aql	Simbad
X	183912	BD+27  3410A	26953	7417	 95947	19 30 43.29	+27 57 34.9	 3.05	  6	bet01	Cyg	Simbad
X	183912	BD+27  3410A	26953	7417	 95947	19 30 43.29	+27 57 34.9	 3.05	  6	bet  	Cyg	Simbad
X	183914	BD+27  3411 	26956	7418	 95951	19 30 45.40	+27 57 55.0	 5.12	  6	bet02	Cyg	Simbad
X	183914	BD+27  3411 	26956	7418	 95951	19 30 45.40	+27 57 55.0	 5.12	  6	bet  	Cyg	Simbad
X	184006	BD+51  2605 	26947	7420	 95853	19 29 42.34	+51 43 46.1	 3.76	 10	iot  	Cyg	Simbad
X	184006	BD+51  2605 	26947	7420	 95853	19 29 42.34	+51 43 46.1	 3.76	 10	iot02	Cyg	Simbad
 	184127	CD-48 13161 	27025	7424	 96341	19 35 12.99	-48 05 56.8	 4.88	   	iot  	Tel	Simbad
 	184171	BD+34  3590 	26988	7426	 96052	19 31 46.32	+34 27 10.7	 4.74	  8	     	Cyg	Simbad
 	184406	BD+07  4132 	27030	7429	 96229	19 34 05.23	+07 22 45.5	 4.45	 38	mu.  	Aql	Simbad
X	184492	BD-10  5122 	27046	7430	 96327	19 35 07.25	-10 33 37.6	 5.12	 37	     	Aql	Simbad
X	184492	BD-10  5122 	27046	7430	 96327	19 35 07.25	-10 33 37.6	 5.12	 37	k    	Aql	Simbad
 	184552	CD-24 15442 	27067	7431	 96406	19 36 01.65	-24 43 08.5	 5.64	 51	h01  	Sgr	Simbad
 	184606	BD+19  4063 	27047	7437	 96275	19 34 34.89	+19 46 24.2	 5.00	  9	     	Vul	Simbad
 	184707	CD-25 14184 	27089	7440	 96465	19 36 42.39	-24 53 00.8	 4.59	 52	h02  	Sgr	Simbad
 	184759	BD+29  3651A	27062	7441	 96302	19 34 50.92	+29 27 46.5	 5.39	  9	     	Cyg	Simbad
 	184915	BD-07  5006 	27107	7446	 96483	19 36 53.45	-07 01 38.9	 4.93	 39	kap  	Aql	Simbad
 	184930	BD-01  3782 	27103	7447	 96468	19 36 43.28	-01 17 11.6	 4.36	 41	iot  	Aql	Simbad
 	185037	BD+36  3619 	27099	7457	 96387	19 35 48.30	+36 56 40.4	 6.03	 11	     	Cyg	Simbad
 	185124	BD-04  4861 	27143	7460	 96556	19 37 47.26	-04 38 51.0	 5.45	 42	     	Aql	Simbad
M	185144	BD+69  1053 	27050	7462	 96100	19 32 20.59	+69 39 55.4	 4.67	 61	sig  	Dra	Simbad
 	185194	BD+16  3918 	27139	7463	 96516	19 37 17.38	+16 27 46.0	 5.67	  4	eps  	Sge	Simbad
 	185395	BD+49  3062 	27141	7469	 96441	19 36 26.54	+50 13 13.7	 4.49	 13	the  	Cyg	Simbad
 	185404	CD-23 15618 	27189	7470	 96729	19 39 49.46	-23 25 39.4	 6.33	 53	     	Sgr	Simbad
 	185456	BD+49  3064 	27152	    	      	19 36 49.30	+50 11 59.0	     	   	R    	Cyg	Simbad
 	185507	BD+05  4225 	27185	7474	 96665	19 39 11.64	+05 23 52.0	 5.18	 44	sig  	Aql	Simbad
M	185644	BD-16  5399 	27214	7476	 96808	19 40 43.34	-16 17 35.3	 5.30	 54	e01  	Sgr	Simbad
 	185734	BD+29  3684 	27203	7478	 96683	19 39 22.60	+30 09 11.6	 4.68	 12	phi  	Cyg	Simbad
M	185758	BD+17  4042 	27215	7479	 96757	19 40 05.78	+18 00 50.2	 4.39	  5	alf  	Sge	Simbad
 	185762	BD-00  3813 	27222	7480	 96807	19 40 43.31	-00 37 16.7	 5.64	 45	     	Aql	Simbad
 	185872	BD+42  3413 	27213	7483	 96693	19 39 26.47	+42 49 05.6	 5.41	 14	     	Cyg	Simbad
 	185936	BD+13  4098 	27235	7486	 96840	19 41 05.53	+13 48 56.5	 5.98	   	QS   	Aql	Simbad
 	185958	BD+17  4048 	27236	7488	 96837	19 41 02.93	+17 28 34.0	 4.39	  6	bet  	Sge	Simbad
X	186005	BD-16  5413 	27255	7489	 96950	19 42 31.09	-16 07 26.3	 5.06	 55	e02  	Sgr	Simbad
X	186005	BD-16  5413 	27255	7489	 96950	19 42 31.09	-16 07 26.3	 5.06	 55	e    	Sgr	Simbad
 	186122	BD+11  3954 	27263	7493	 96931	19 42 12.81	+12 11 35.8	 6.33	 46	     	Aql	Simbad
 	186203	BD+11  3955A	27272	7497	 96957	19 42 34.01	+11 49 35.8	 5.28	 47	chi  	Aql	Simbad
 	186204	BD+11  3955B	     	    	      	19 42 37.90	+11 50 31.0	12.30	 47	chi  	Aql	Simbad
M	186408	BD+50  2847 	27284	7503	 96895	19 41 49.09	+50 31 31.6	 5.99	 16	c    	Cyg	Simbad
 	186427	BD+50  2848 	27285	7504	 96901	19 41 52.10	+50 31 04.5	 6.25	 16	c    	Cyg	Simbad
 	186486	BD+25  3933 	27305	7506	 97077	19 43 42.92	+25 46 18.7	 5.50	 10	     	Vul	Simbad
 	186543	CP-56  9290 	27358	7510	 97421	19 48 01.10	-56 21 44.2	 5.33	   	nu.  	Tel	Simbad
 	186547	BD+12  4059 	27321	7511	 97139	19 44 34.19	+13 18 10.1	 6.25	 48	psi  	Aql	Simbad
 	186648	BD-20  5698 	27349	7515	 97290	19 46 21.82	-19 45 39.2	 4.87	 56	f    	Sgr	Simbad
 	186675	BD+37  3586 	27328	7517	 97118	19 44 16.55	+37 21 15.4	 4.89	 15	     	Cyg	Simbad
 	186686	BD+48  2942 	27318	    	      	19 43 37.90	+48 46 39.0	 9.80	   	RT   	Cyg	Simbad
 	186689	BD+07  4210 	27342	7519	 97229	19 45 39.92	+07 36 47.4	 5.89	 49	ups  	Aql	Simbad
M	186791	BD+10  4043 	27354	7525	 97278	19 46 15.57	+10 36 47.8	 2.72	 50	gam  	Aql	Simbad
M	186882	BD+44  3234 	27347	7528	 97165	19 44 58.44	+45 07 50.5	 2.86	 18	del  	Cyg	Simbad
 	187013	BD+33  3587 	27369	7534	 97295	19 46 25.58	+33 43 43.3	 5.00	 17	     	Cyg	Simbad
 	187076	BD+18  4240A	27391	7536	 97365	19 47 23.27	+18 32 03.3	 3.68	  7	del  	Sge	Simbad
 	187077	BD+18  4240B	     	    	      	19 47 23.10	+18 32 01.0	 3.80	  7	del  	Sge	Simbad
 	187259	BD+11  3994A	27418	7544	 97473	19 48 42.05	+11 48 57.3	 5.75	 52	pi.  	Aql	Simbad
 	187260	BD+11  3994B	     	    	      	19 48 42.10	+11 48 55.0	 5.70	 52	pi.  	Aql	Simbad
 	187362	BD+18  4254 	27431	7546	 97496	19 48 58.65	+19 08 31.1	 5.01	  8	zet  	Sge	Simbad
 	187532	BD-11  5149 	27465	7553	 97650	19 50 46.80	-10 45 48.9	 5.38	 51	     	Aql	Simbad
M	187642	BD+08  4236 	27470	7557	 97649	19 50 46.68	+08 52 02.6	 0.76	 53	alf  	Aql	Simbad
 	187691	BD+10  4073 	27480	7560	 97675	19 51 01.50	+10 24 57.8	 5.12	 54	omi  	Aql	Simbad
 	187739	BD-19  5631 	27503	7561	 97783	19 52 12.01	-19 02 41.5	 5.88	 57	     	Sgr	Simbad
 	187796	BD+32  3593 	27481	7564	 97629	19 50 33.85	+32 54 51.2	10.50	   	chi  	Cyg	Simbad
 	187811	BD+22  3833 	27493	7565	 97679	19 51 04.09	+22 36 36.3	 4.90	 12	     	Vul	Simbad
 	187849	BD+38  3780 	27486	7566	 97630	19 50 33.99	+38 43 19.8	 5.18	 19	     	Cyg	Simbad
 	187879	BD+40  3902 	27492	7567	 97634	19 50 37.33	+40 35 59.2	 5.68	   	V380 	Cyg	Simbad
 	187929	BD+00  4337 	27517	7570	 97804	19 52 28.36	+01 00 20.4	 3.87	 55	eta  	Aql	Simbad
 	188001	BD+18  4276 	27523	7574	 97796	19 52 21.77	+18 40 18.8	 6.24	  9	     	Sge	Simbad
 	188056	BD+52  2547 	27506	7576	 97635	19 50 37.73	+52 59 17.4	 5.03	 20	d    	Cyg	Simbad
 	188114	CD-42 14549 	27557	7581	 98032	19 55 15.68	-41 52 06.3	 4.12	   	iot  	Sgr	Simbad
M	188119	BD+69  1070 	27471	7582	 97433	19 48 10.21	+70 16 04.2	 3.84	 63	eps  	Dra	Simbad
 	188154	BD-08  5150 	27546	7584	 97928	19 54 08.27	-08 34 27.0	 5.76	 56	     	Aql	Simbad
 	188228	CP-73  2086 	27631	7590	 98495	20 00 35.39	-72 54 36.7	 3.97	   	eps  	Pav	Simbad
 	188260	BD+23  3820 	27544	7592	 97886	19 53 27.68	+24 04 46.3	 4.57	 13	     	Vul	Simbad
 	188293	BD-08  5154 	27562	7593	 97966	19 54 37.65	-08 13 38.0	 5.70	 57	     	Aql	Simbad
 	188294	BD-08  5155 	27563	7594	 97967	19 54 38.06	-08 14 13.1	 6.49	 57	     	Aql	Simbad
M	188310	BD+08  4261 	27558	7595	 97938	19 54 14.82	+08 27 41.9	 4.71	 59	ksi  	Aql	Simbad
 	188350	BD-00  3871 	27565	7596	 97980	19 54 44.77	+00 16 25.2	 5.60	 58	     	Aql	Simbad
M	188376	CD-26 14637 	27583	7597	 98066	19 55 50.23	-26 17 58.9	 4.70	 58	ome  	Sgr	Simbad
M	188512	BD+06  4357 	27587	7602	 98036	19 55 18.77	+06 24 28.6	 3.71	 60	bet  	Aql	Simbad
 	188584	CP-67  3695 	27651	7603	 98478	20 00 23.11	-66 56 56.0	 5.75	   	mu.01	Pav	Simbad
X	188603	CD-27 14399 	27605	7604	 98162	19 56 56.82	-27 10 11.5	 4.54	 59	b01  	Sgr	Simbad
X	188603	CD-27 14399 	27605	7604	 98162	19 56 56.82	-27 10 11.5	 4.54	 59	b    	Sgr	Simbad
 	188665	BD+57  2084 	27571	7608	 97870	19 53 17.37	+57 31 24.5	 5.14	 23	     	Cyg	Simbad
X	188727	BD+16  4067 	27601	7609	 98085	19 56 01.26	+16 38 05.3	 5.71	 10	S    	Sge	Simbad
X	188727	BD+16  4067 	27601	7609	 98085	19 56 01.26	+16 38 05.3	 5.71	 10	s    	Sge	Simbad
 	188728	BD+11  4055 	27604	7610	 98103	19 56 14.23	+11 25 25.4	 5.28	 61	phi  	Aql	Simbad
 	188887	CP-67  3698 	27687	7612	 98624	20 01 52.40	-66 56 37.7	 5.32	   	mu.02	Pav	Simbad
 	188892	BD+38  3817 	27613	7613	 98068	19 55 51.76	+38 29 12.1	 4.95	 22	     	Cyg	Simbad
 	188899	BD-15  5516 	27637	7614	 98258	19 57 57.02	-15 29 28.5	 5.01	 61	g    	Sgr	Simbad
 	188947	BD+34  3798 	27622	7615	 98110	19 56 18.40	+35 05 00.6	 3.89	 21	eta  	Cyg	Simbad
M	189005	CD-26 14682 	27658	7618	 98353	19 58 57.18	-26 11 45.0	 4.84	 60	A    	Sgr	Simbad
 	189037	BD+52  2572 	27618	7619	 98055	19 55 37.82	+52 26 20.5	 4.91	 24	psi  	Cyg	Simbad
 	189090	BD+16  4081 	27648	7622	 98234	19 57 45.44	+16 47 20.8	 5.54	 11	     	Sge	Simbad
 	189103	CD-35 13831 	27670	7623	 98412	19 59 44.17	-35 16 34.5	 4.37	   	the01	Sgr	Simbad
 	189118	CD-35 13832 	27676	7624	 98421	19 59 51.28	-34 41 51.5	 5.30	   	the02	Sgr	Simbad
 	189319	BD+19  4229 	27672	7635	 98337	19 58 45.39	+19 29 31.5	 3.51	 12	gam  	Sge	Simbad
 	189410	BD+22  3872 	27688	7641	 98375	19 59 10.58	+23 06 04.6	 5.68	 14	     	Vul	Simbad
X	189577	BD+17  4183 	27711	7645	 98438	20 00 03.31	+17 30 59.5	 5.33	 13	     	Sge	Simbad
X	189577	BD+17  4183 	27711	7645	 98438	20 00 03.31	+17 30 59.5	 5.33	 13	VZ   	Sge	Simbad
 	189687	BD+36  3806 	27724	7647	 98425	19 59 55.20	+37 02 34.4	 5.15	 25	     	Cyg	Simbad
 	189741	BD-14  5618 	27758	7649	 98633	20 01 58.58	-13 38 14.1	 5.69	 63	     	Sgr	Simbad
M	189763	CD-28 16355 	27763	7650	 98688	20 02 39.46	-27 42 35.6	 4.43	 62	c    	Sgr	Simbad
 	189849	BD+27  3587 	27753	7653	 98543	20 01 06.01	+27 45 12.8	 4.66	 15	     	Vul	Simbad
 	190004	BD+24  3977 	27768	7657	 98636	20 02 01.37	+24 56 16.3	 5.23	 16	     	Vul	Simbad
 	190147	BD+49  3158 	27770	7660	 98571	20 01 21.55	+50 06 16.8	 5.06	 26	e    	Cyg	Simbad
 	190229	BD+15  4033 	27812	7664	 98754	20 03 30.01	+16 01 52.6	 5.73	 14	     	Sge	Simbad
 	190248	CP-66  3474 	27886	7665	 99240	20 08 41.86	-66 10 45.6	 3.55	   	del  	Pav	Simbad
 	190299	BD-01  3887 	27832	7667	 98844	20 04 23.15	-00 42 32.5	 5.67	 62	     	Aql	Simbad
 	190327	BD+06  4416 	27824	7669	 98823	20 04 08.31	+07 16 40.6	 5.51	 63	tau  	Aql	Simbad
 	190406	BD+16  4121 	27835	7672	 98819	20 04 06.47	+17 04 16.2	 5.80	 15	     	Sge	Simbad
 	190421	CP-53  9794 	27879	7673	 99120	20 07 23.17	-52 52 50.9	 4.93	   	ksi  	Tel	Simbad
 	190454	BD-13  5569 	27859	7675	 98953	20 05 26.33	-12 39 54.2	 6.53	 65	     	Sgr	Simbad
 	190544	BD+64  1405 	27806	7676	 98583	20 01 28.53	+64 49 15.6	 5.22	 64	e    	Dra	Simbad
 	190608	BD+19  4277 	27868	7679	 98920	20 05 09.47	+19 59 27.2	 5.09	 16	eta  	Sge	Simbad
 	190713	BD+64  1407 	27829	7682	 98658	20 02 20.16	+64 38 03.8	 6.27	 65	     	Dra	Simbad
 	190940	BD+67  1222 	27856	7685	 98702	20 02 49.05	+67 52 24.4	 4.51	 67	rho  	Dra	Simbad
 	190960	BD+76   771 	27809	7686	 98401	19 59 36.69	+76 28 53.5	 6.20	 69	     	Dra	Simbad
 	190993	BD+23  3896 	27910	7688	 99080	20 06 53.40	+23 36 51.9	 5.08	 17	     	Vul	Simbad
 	191026	BD+35  3959 	27904	7689	 99031	20 06 21.93	+35 58 24.7	 5.38	 27	b01  	Cyg	Simbad
 	191067	BD-01  3899 	27930	7690	 99171	20 08 01.75	-00 40 40.9	 5.97	 64	     	Aql	Simbad
 	191277	BD+61  1970 	27911	7701	 98962	20 05 32.73	+61 59 42.9	 5.40	 66	     	Dra	Simbad
M	191570	BD+20  4453 	27987	7705	 99352	20 09 56.61	+20 54 53.2	 6.51	 17	the  	Sge	Simbad
 	191571	BD+20  4452 	27982	    	      	20 09 52.30	+20 53 47.0	 8.90	 17	the  	Sge	Simbad
 	191610	BD+36  3907 	27980	7708	 99303	20 09 25.62	+36 50 22.5	 4.93	 28	b02  	Cyg	Simbad
 	191692	BD-01  3911 	28010	7710	 99473	20 11 18.26	-00 49 17.3	 3.24	 65	the  	Aql	Simbad
 	191747	BD+26  3815 	27999	7711	 99404	20 10 33.52	+26 54 14.9	 5.51	 18	     	Vul	Simbad
M	191753	BD-12  5664 	28026	7712	 99529	20 11 57.90	-12 23 32.5	 6.34	  1	ksi01	Cap	Simbad
X	191862	BD-13  5608 	28035	7715	 99572	20 12 25.76	-12 37 01.3	 5.84	  2	ksi  	Cap	Simbad
X	191862	BD-13  5608 	28035	7715	 99572	20 12 25.76	-12 37 01.3	 5.84	  2	ksi02	Cap	Simbad
 	192004	BD+26  3825 	28037	7718	 99518	20 11 47.97	+26 48 32.5	 5.51	 19	     	Vul	Simbad
 	192044	BD+26  3828 	28042	7719	 99531	20 12 00.70	+26 28 43.8	 5.91	 20	     	Vul	Simbad
 	192107	BD-01  3920 	28068	7720	 99631	20 13 13.87	-01 00 33.4	 5.44	 66	     	Aql	Simbad
 	192425	BD+14  4227 	28097	7724	 99742	20 14 16.59	+15 11 50.9	 4.94	 67	rho  	Aql	Simbad
 	192455	BD+61  1983 	28071	7727	 99500	20 11 34.74	+62 04 42.1	 5.70	 68	     	Dra	Simbad
X	192514	BD+46  2881 	28091	7730	 99639	20 13 18.04	+46 48 56.4	 4.80	 30	     	Cyg	Simbad
X	192514	BD+46  2881 	28091	7730	 99639	20 13 18.04	+46 48 56.4	 4.80	 30	omi01	Cyg	Simbad
 	192518	BD+28  3675 	28105	7731	 99738	20 14 14.52	+28 41 41.5	 5.19	 21	     	Vul	Simbad
X	192577	BD+46  2882A	28099	7735	 99675	20 13 37.90	+46 44 28.8	 3.80	 31	omi01	Cyg	Simbad
X	192577	BD+46  2882A	28099	7735	 99675	20 13 37.90	+46 44 28.8	 3.80	 31	omi02	Cyg	Simbad
 	192640	BD+36  3955 	28124	7736	 99770	20 14 31.98	+36 48 22.1	 4.93	 29	b03  	Cyg	Simbad
 	192666	BD-12  5680 	28149	7738	 99918	20 16 22.80	-12 20 13.5	 6.30	  3	     	Cap	Simbad
 	192696	BD+56  2376 	28108	7740	 99655	20 13 23.80	+56 34 03.1	 4.28	 33	     	Cyg	Simbad
 	192713	BD+23  3944 	28144	7741	 99853	20 15 30.24	+23 30 32.1	 5.18	 22	     	Vul	Simbad
 	192806	BD+27  3666 	28152	7744	 99874	20 15 46.16	+27 48 51.2	 4.50	 23	     	Vul	Simbad
 	192836	BD+21  4130 	28166	7746	 99913	20 16 19.78	+21 35 55.5	 6.11	 18	     	Sge	Simbad
M	192876	BD-12  5683 	28189	7747	100027	20 17 38.86	-12 30 29.6	 4.30	  5	alf01	Cap	Simbad
 	192879	BD-22  5384 	28195	7748	100062	20 18 01.38	-21 48 35.6	 5.86	  4	     	Cap	Simbad
 	192907	BD+77   764 	28066	7750	 99255	20 08 53.32	+77 42 40.9	 4.38	  1	kap  	Cep	Simbad
X	192909	BD+47  3059A	28160	7751	 99848	20 15 28.32	+47 42 51.1	 3.96	 32	omi02	Cyg	Simbad
X	192909	BD+47  3059A	28160	7751	 99848	20 15 28.32	+47 42 51.1	 3.96	 32	omi03	Cyg	Simbad
 	192944	BD+24  4075 	28183	7753	 99951	20 16 47.08	+24 40 16.1	 5.30	 24	     	Vul	Simbad
M	192947	BD-12  5685 	28200	7754	100064	20 18 03.22	-12 32 41.5	 3.58	  6	alf02	Cap	Simbad
 	193150	BD-19  5776 	28233	7761	100195	20 19 23.60	-19 07 06.6	 5.28	  7	sig  	Cap	Simbad
 	193237	BD+37  3871 	28218	7763	100044	20 17 47.20	+38 01 58.6	 4.77	 34	P    	Cyg	Simbad
 	193369	BD+36  3998 	28239	7769	100108	20 18 28.63	+36 59 59.1	 5.58	 36	     	Cyg	Simbad
 	193370	BD+34  3967 	28242	7770	100122	20 18 39.07	+34 58 58.0	 5.14	 35	     	Cyg	Simbad
M	193432	BD-13  5642 	28282	7773	100310	20 20 39.81	-12 45 32.6	 4.77	  8	nu.  	Cap	Simbad
X	193452	BD-15  5626 	28286	7775	100325	20 20 46.52	-14 47 05.6	 6.09	   	bet02	Cap	Simbad
X	193452	BD-15  5626 	28286	7775	100325	20 20 46.52	-14 47 05.6	 6.09	   	bet  	Cap	Simbad
X	193495	BD-15  5629A	28295	7776	100345	20 21 00.65	-14 46 53.0	 3.05	  9	bet  	Cap	Simbad
X	193495	BD-15  5629A	28295	7776	100345	20 21 00.65	-14 46 53.0	 3.05	   	bet01	Cap	Simbad
 	193571	CD-42 14836 	28309	7779	100469	20 22 27.48	-42 02 57.7	 5.60	   	kap01	Sgr	Simbad
 	193680	BD+47  3077 	28290	    	      	20 19 36.40	+47 53 38.0	 8.50	   	U    	Cyg	Simbad
 	193807	CD-42 14847 	28341	7787	100591	20 23 53.19	-42 25 22.5	 5.64	   	kap02	Sgr	Simbad
 	193911	BD+23  3986 	28325	7789	100435	20 22 03.43	+24 26 46.0	 5.50	 25	     	Vul	Simbad
M	193924	CP-57  9674 	28374	7790	100751	20 25 38.85	-56 44 05.6	 1.94	   	alf  	Pav	Simbad
 	193964	BD+61  2000 	28304	7792	100221	20 19 36.70	+62 15 26.7	 5.71	 71	     	Dra	Simbad
